"TreeID","Site","Canopy.Class","Species","DBH"
"HOW3020","HO","Overstory","TSCA",27.9
"HOW3066","HO","Overstory","TSCA",31.1
"HOW3033","HO","Overstory","ACRU",37
"HOW3077","HO","Overstory","TSCA",30.5
"LF3034","LF","Overstory","QURU",35.1
"LF3017","LF","Overstory","ACRU",50
"LF3006","LF","Overstory","QURU",61
"LF1022","LF","Overstory","QURU",67.5
"LF3042","LF","Middle","QURU",32
"LF2014","LF","Middle","ACRU",23.9
"NRP4092","NR","Overstory","TSCA",42.2
"NRP4093","NR","Middle","TSCA",31.2
"NRP4083","NR","Overstory","QURU",55
"NRP4080","NR","Overstory","TSCA",38.3
"NRP4069","NR","Overstory","TSCA",34.7
"NRP4071","NR","Overstory","TSCA",35
"NRP4059","NR","Overstory","ACRU",38.1
"NRP4060","NR","Overstory","QURU",44.5
"NRP4061","NR","Overstory","TSCA",34
"NRP4052","NR","Middle","TSCA",25.2
"NRP4049","NR","Overstory","TSCA",48
"NRP4050","NR","Understory","TSCA",16.2
"NRP4042","NR","Understory","TSCA",23.5
"NRP4039","NR","Overstory","TSCA",24.5
"NRP4033","NR","Overstory","TSCA",42.3
"NRP4028","NR","Overstory","TSCA",41
"NRP4022","NR","Overstory","FAGR",30.1
"NRP4136","NR","Overstory","TSCA",49.9
"NRP4137","NR","Overstory","TSCA",41
"NRP4018","NR","Overstory","ACRU",32.5
"NRP4015","NR","Overstory","TSCA",41.4
"NRP4011","NR","Overstory","TSCA",40.6
"NRP4007","NR","Overstory","TSCA",32.2
"NRP4100","NR","Overstory","TSCA",39.5
"NRP3085","NR","Overstory","TSCA",51.2
"NRP3081","NR","Overstory","TSCA",37.1
"NRP4097","NR","Overstory","TSCA",45.8
"NRP3061","NR","Overstory","TSCA",41
"NRP3058","NR","Overstory","QURU",53.1
"NRP3052","NR","Overstory","TSCA",29.8
"NRP3049","NR","Overstory","TSCA",52.4
"NRP3050","NR","Overstory","TSCA",47.8
"NRP3046","NR","Overstory","TSCA",58.2
"NRP3036","NR","Overstory","TSCA",68.7
"NRP3031","NR","Overstory","QURU",61
"NRP3022","NR","Overstory","QURU",54
"NRP4025","NR","Overstory","TSCA",51.8
"NRP4026","NR","Overstory","TSCA",44
"NRP4012","NR","Overstory","TSCA",45.7
"NRP4001","NR","Overstory","QURU",59.5
"NRP2046","NR","Middle","FAGR",36.8
"NRP3019","NR","Overstory","TSCA",61
"NRP2002","NR","Middle","FAGR",21
"NRP1037","NR","Middle","FAGR",41.5
"NRP1033","NR","Overstory","FAGR",43.3
"NRP3018","NR","Overstory","QURU",45.3
"NRP1005","NR","Overstory","FAGR",56.4
"NRP1018","NR","Overstory","FAGR",62
"NRP2055","NR","Middle","FAGR",38.3
"NRP1004","NR","Overstory","FAGR",48.2
"NRP4094","NR","Understory","TSCA",33
"NRP4075","NR","Overstory","QURU",44.9
"NRP4072","NR","Overstory","TSCA",34.5
"NRP4067","NR","Overstory","TSCA",47.6
"NRP4063","NR","Overstory","TSCA",28.5
"NRP4105","NR","Overstory","TSCA",36
"NRP4057","NR","Overstory","TSCA",20.9
"NRP4054","NR","Understory","TSCA",25.7
"NRP4055","NR","Overstory","TSCA",43.7
"NRP4047","NR","Overstory","TSCA",31.4
"NRP4044","NR","Overstory","TSCA",40.8
"NRP4045","NR","Overstory","TSCA",36.7
"NRP4041","NR","Overstory","TSCA",24.1
"NRP4034","NR","Overstory","TSCA",35
"NRP3084","NR","Overstory","TSCA",39.5
"NRP3054","NR","Overstory","TSCA",38.1
"NRP4019","NR","Overstory","TSCA",32.6
"NRP4016","NR","Overstory","TSCA",45.7
"NRP4005","NR","Overstory","TSCA",36.4
"NRP4101","NR","Overstory","TSCA",33.9
"NRP3086","NR","Overstory","TSCA",45.4
"NRP3082","NR","Overstory","TSCA",21.7
"NRP3053","NR","Overstory","TSCA",45.9
"NRP3024","NR","Overstory","QURU",51.7
"NRP4098","NR","Overstory","QURU",40.1
"NRP3062","NR","Overstory","TSCA",50.1
"NRP4144","NR","Overstory","QURU",54.8
"NRP3047","NR","Middle","TSCA",30.2
"NRP3044","NR","Overstory","TSCA",48.7
"NRP3045","NR","Understory","TSCA",18.4
"NRP3037","NR","Overstory","TSCA",63.5
"NRP3035","NR","Overstory","TSCA",52
"NRP3032","NR","Overstory","TSCA",72.2
"NRP2047","NR","Middle","FAGR",45.8
"NRP4068","NR","Overstory","TSCA",36.6
"NRP3011","NR","Overstory","TSCA",44.2
"NRP4017","NR","Overstory","TSCA",26.5
"NRP4014","NR","Overstory","TSCA",28
"NRP4006","NR","Overstory","TSCA",34.6
"NRP4002","NR","Overstory","TSCA",40.5
"NRP2052","NR","Middle","FAGR",32.8
"NRP1038","NR","Overstory","FAGR",55.7
"NRP4036","NR","Overstory","QURU",43.9
"NRP4104","NR","Overstory","TSCA",31.2
"NRP2027","NR","Middle","TSCA",52
"NRP2025","NR","Middle","FAGR",42.9
"NRP3057","NR","Overstory","TSCA",51.2
"NRP2007","NR","Overstory","FAGR",53.1
"NRP2005","NR","Understory","FAGR",14.4
"NRP1052","NR","Overstory","FAGR",43.2
"NRP1046","NR","Middle","FAGR",33
"NRP4102","NR","Overstory","QURU",50.2
"NRP3012","NR","Overstory","QURU",51.5
