scientific,common,acronym,spcd,pft,PalEON,CLM,Supplement Table S2:
Taxodium distichum,baldcypress,TADI2,221,Hydric,Cedar/juniper,,
Thrinax morrisii,key thatch palm,THMO4,913,Hydric,,,
Abies balsamea,Balsam fir,ABBA,12,LC,Fir,CEG,
Chamaecyparis thyoides,Atlantic white-cedar,CHTH2,43,LC,Cedar/juniper,CEG,
Juniperus,juniper,JUSP,57,LC,Cedar/juniper,CEG,
Juniperus ashei,Ashe juniper,JUAS,61,LC,Cedar/juniper,CEG,
Juniperus scopulorum,Rocky Mountain juniper,JUSC,66,LC,Cedar/juniper,CEG,
Juniperus virginiana,eastern redcedar,JUVI,68,LC,Cedar/juniper,CEG,
Juniperus virginiana var silicicola,Southern redcedar,JUVIS,67,LC,Cedar/juniper,CEG,
Thuja occidentalis,northern white-cedar,THOC2,241,LC,Cedar/juniper,CEG,
Thuja spp,northern white-cedar,THOC2,241,LC,Cedar/juniper,CEG,
Tsuga  ,hemlock   ,TSUGA,260,LC,Hemlock,CEG,
Tsuga canadensis,eastern hemlock  ,TSCA,261,LC,Hemlock,CEG,
Tsuga caroliniana,Carolina hemlock,TSCA2,262,LC,Hemlock,CEG,
Acer,Maple,ACER,310,LH,Maple,BLD,
Acer barbatum,Florida maple,ACBA3,311,LH,Maple,BLD,
Acer leucoderme,chalk maple,ACLE,323,LH,Maple,BLD,
Acer negundo,boxelder,ACNE2,313,LH,Maple,BLD,
Acer nigrum,black maple,ACNI5,314,LH,Maple,BLD,
Acer pensylvanicum,striped maple,ACPE,315,LH,Maple,BLD,
Acer platanoides,Norway maple,ACPL,320,LH,Maple,BLD,
Acer rubrum,red maple  ,ACRU,316,LH,Maple,BLD,
Acer saccharinum,silver maple,ACSA2,317,LH,Maple,BLD,
Acer saccharum,sugar maple  ,ACSA3,318,LH,Maple,BLD,
Acer spicatum,mountain maple,ACSP2,319,LH,Maple,BLD,
Aesculus,buckeye,AESCU,330,LH,Buckeye,BLD,
Aesculus flava,yellow buckeye,AEFL,332,LH,Buckeye,BLD,
Aesculus glabra,Ohio buckeye,AEGL,331,LH,Buckeye,BLD,
Aesculus glabra var arguta,Texas buckeye,AEGLA,334,LH,Buckeye,BLD,
Aesculus octandra,Texas buckeye,AEGLA,334,LH,Buckeye,BLD,
Alnus glutinosa,European alder,ALGL2,355,LH,Alder,BLD,
Carpinus caroliniana,hornbeam,CACA18,391,LH,Ironwood,BLD,
Castanea dentata,American chestnut,CADE12,421,LH,Other hardwood,BLD,
Cornus florida,Flowering dogwood,COFL2,491,LH,Dogwood,BLD,
Diospyros,persimmon,DIOSP,520,LH,Other hardwood,BLD,
Diospyros virginiana,common persimmon,DIVI5,521,LH,Other hardwood,BLD,
Fagus grandifolia,beech   ,FAGR,531,LH,Beech,BLD,
Halesia,silverbell,HALES,580,LH,Other hardwood,BLD,
Halesia carolina,Carolina silverbell,HACA3,581,LH,Other hardwood,BLD,
Halesia parviflora,two-wing silverbel,HAPA,582,LH,Other hardwood,BLD,
Oxydendrum arboreum,sourwood,OXAR,711,LH,Other hardwood,BLD,
Platanus,sycamore   ,PLATA,731,LH,Sycamore,BLD,
Platanus occidentalis,sycamore   ,PLATA,731,LH,Sycamore,BLD,
Sapindus saponaria var drummondii,western soapberry,SASAD,919,LH,Other hardwood,BLD,
Tilia,basswood   ,TILIA,950,LH,Basswood,BLD,
Tilia americana,american basswood  ,TIAM,951,LH,Basswood,BLD,
Tilia americana var caroliniana,Carolina basswood,TIAMC,953,LH,Basswood,BLD,
Tilia americana var. heterophylla,American basswood,TIAMH,952,LH,Basswood,BLD,
Tilia sp.,basswood   ,TILIA,950,LH,Basswood,BLD,
Abies,fir spp.,ABSP,10,MC,Fir,CEG,
Abies concolor,white fir,ABCO,15,MC,Fir,CEG,
Abies fraseri,Fraser fir,ABFR,16,MC,Fir,CEG,
Picea  ,spruce   ,PISP,90,MC,Spruce,CEG,
Picea abies,Norway Spruce,PIAB,91,MC,Spruce,CEG,
Picea glauca,white spruce  ,PIGL,94,MC,Spruce,CEG,
Picea mariana,black spruce  ,PIMA,95,MC,Spruce,CEG,
Picea pungens,Blue spruce,PIPU,96,MC,Spruce,CEG,
Picea rubens,red spruce,PIRU,97,MC,Spruce,CEG,
Pseudotsuga menziesii,Douglas-fir,PSME,202,MC,,CEG,
Amelanchier ,serviceberry,AMELA,356,NMH,Other hardwood,BLD,
Amelanchier arborea,Downy serviceberry,AMAR3,357,NMH,Other hardwood,BLD,
Carya cordiformis,bitternut hickory,CACO15,402,NMH,Hickory,BLD,
Carya ovalis,red hickory,CAOV3,412,NMH,Hickory,BLD,
Carya ovata,shagbark hickory,CAOV2,407,NMH,Hickory,BLD,
Carya sp,hickory,CARYA,400,NMH,Hickory,BLD,
Carya sp.,hickory,CARYA,400,NMH,Hickory,BLD,
Celtis laevigata var reticulata,netleaf hackberry,CELAR,463,NMH,Hackberry,BLD,
Celtis occidentalis,hackberry,CEOC,462,NMH,Hackberry,BLD,
Cladrastis kentukea,yellowwood,CLKE,481,NMH,Other hardwood,BLD,
Crataegus,hawthorn,CRATA,500,NMH,Other hardwood,BLD,
Crataegus crus-galli,cockspur hawthorn,CRCR2,501,NMH,Other hardwood,BLD,
Crataegus mollis,downy hawthorn,CRMO2,502,NMH,Other hardwood,BLD,
Fraxinus americana,white ash,FRAM2,541,NMH,Ash,BLD,
Fraxinus nigra,black ash,FRNI,543,NMH,Ash,BLD,
Fraxinus pennsylvanica,green ash,FRPE,544,NMH,Ash,BLD,
Fraxinus profunda,pumpkin ash,FRPR,545,NMH,Ash,BLD,
Juglans,walnut ,JUGLA,600,NMH,Walnut,BLD,
Juglans cinerea,butternut   ,JUCI,601,NMH,Walnut,BLD,
Juglans nigra,black walnut,JUNI,602,NMH,Walnut,BLD,
Malus,apple spp.  ,MALUS,660,NMH,Other hardwood,BLD,
Malus coronaria,sweet crabapple,MACO5,663,NMH,Other hardwood,BLD,
Malus ioensis,prairie crabapple,MAIO,664,NMH,Other hardwood,BLD,
Morus alba,white mulberry,MOAL,681,NMH,Other hardwood,BLD,
Morus rubra,red mulberry  ,MORU2,682,NMH,Other hardwood,BLD,
Ostrya virginiana,eastern hophornbeam  ,OSVI,701,NMH,Ironwood,BLD,
Quercus alba,white oak  ,QUAL,802,NMH,Oak,BLD,
Quercus bicolor,swamp white oak ,QUBI,804,NMH,Oak,BLD,
Quercus ellipsoidalis,northern pin oak ,QUEL,809,NMH,Oak,BLD,
Quercus ilicifolia,scrub oak,QUIL,816,NMH,Oak,BLD,
Quercus macrocarpa,bur oak  ,QUMA2,823,NMH,Oak,BLD,
Quercus palustris,pin oak,QUPA2,830,NMH,Oak,BLD,
Quercus prinoides,swarf chinakapin oak,QUPR,845,NMH,Oak,BLD,
Quercus rubra,northern red oak ,QURU,833,NMH,Oak,BLD,
Quercus velutina,black oak  ,QUVE,837,NMH,Oak,BLD,
Sassafras albidum,sassafras   ,SAAL5,931,NMH,Other hardwood,BLD,
Sorbus americana,American mountain-ash  ,SOAM3,935,NMH,Other hardwood,BLD,
Sorbus aucuparia,European mountain-ash,SOAU,936,NMH,Other hardwood,BLD,
Ulmus,elm,ULMUS,970,NMH,Elm,BLD,
Ulmus americana,American elm  ,ULAM,972,NMH,Elm,BLD,
Ulmus pumila,Siberian elm,ULPU,974,NMH,Elm,BLD,
Ulmus rubra,slippery elm  ,ULRU,975,NMH,Elm,BLD,
Ulmus sp.,elm,ULMUS,970,NMH,Elm,BLD,
Ulmus thomasii,rock elm,ULTH,977,NMH,Elm,BLD,
Unknown,Unknown dead hardwood,DEAD,999,NMH,,BLD,
Pinus banksiana,jack pine  ,PIBA2,105,NP,Pine,CEG,
Pinus nigra,Austrian pine,PINI,136,NP,Pine,CEG,
Pinus ponderosa,Ponderosa pine,PIPO,122,NP,Pine,CEG,
Pinus resinosa,red pine  ,PIRE,125,NP,Pine,CEG,
Pinus rigida,pitch pine,PIRI,126,NP,Pine,CEG,
Pinus strobus,white pine  ,PIST,129,NP,Pine,CEG,
Pinus sylvestris,Scotch pine,PISY,130,NP,Pine,CEG,
Asimina triloba,pawpaw,ASTR,367,SMH,Other hardwood,BLD,
Carya alba,mockernut hickory,CAAL27,409,SMH,Hickory,BLD,
Carya carolinae-septentrionalis,southern shagbark hickory,CACA38,413,SMH,Hickory,BLD,
Carya glabra,pignut hickory ,CAGL8,403,SMH,Hickory,BLD,
Carya illinoensis,pecan,CAIL2,404,SMH,Hickory,BLD,
Carya laciniosa,shellbark hickory,CALA21,405,SMH,Hickory,BLD,
Carya myristiciformis,nutmeg hickory,CAMY,406,SMH,Hickory,BLD,
Carya pallida,sand hickory,CAPA24,410,SMH,Hickory,BLD,
Carya texana,black hickory,CATE9,408,SMH,Hickory,BLD,
Carya tomentosa,hickory,CATO,,SMH,Hickory,BLD,
Castanea mollissima,chinese chestnut,CAMO83,424,SMH,,BLD,
Castanea pumila,Chinkapin,CAPU9,422,SMH,,BLD,
Castanea pumila var ozarkensis,Ozark chinkapin,CAPUO,423,SMH,,BLD,
Celtis,hackberry,CELTI,460,SMH,Hackberry,BLD,
Celtis laevigata,sugarberry,CELA,461,SMH,Hackberry,BLD,
Cercis canadensis,eastern redbud,CECA4,471,SMH,Other hardwood,BLD,
Cotinus obovatus,smoketree,COOB2,996,SMH,Other hardwood,BLD,
Fraxinus,ash ,FRAXI,540,SMH,Ash,BLD,
Fraxinus caroliniana,Carolina ash,FRCA3,548,SMH,Ash,BLD,
Fraxinus quadrangulata,blue ash,FRQU,546,SMH,Ash,BLD,
Liriodendron tulipifera,yellow-poplar   ,LITU,621,SMH,Tulip poplar,BLD,
Magnolia,magnolia,MAGNO,650,SMH,Other hardwood,BLD,
Magnolia acuminata,cucumbertree,MAAC,651,SMH,Other hardwood,BLD,
Magnolia fraseri,mountain magnolia,MAFR,655,SMH,Other hardwood,BLD,
Magnolia macrophylla,bigleaf magnolia,MAMA2,654,SMH,Other hardwood,BLD,
Magnolia tripetala,umbrella magnolia,MATR,658,SMH,Other hardwood,BLD,
Malus angustifolia,southern crabapple,MAAN3,662,SMH,Other hardwood,BLD,
Morus,mulberry,MORUS,680,SMH,Other hardwood,BLD,
