CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
HOW1036N,HOW1036,1,HOW,036,,,,,1,2,N,NA,NA,1911,1911,2013,Y,1911,2013,Y,,
HOW1036S,HOW1036,1,HOW,036,,,,,1,2,S,NA,NA,1909,1909,2013,Y,1909,2013,Y,,
HOW1037E,HOW1037,1,HOW,037,,,,,1,2,E,NA,NA,1924,1924,2013,Y,1924,2013,Y,,
HOW1037S,HOW1037,1,HOW,037,,,,,1,2,S,NA,NA,1921,1921,1996,Y,1921,1996,Y,,
HOW1038E,HOW1038,1,HOW,038,,,,,1,2,E,NA,NA,1939,1939,2013,Y,1939,2013,Y,,
HOW1038W,HOW1038,1,HOW,038,,,,,1,2,W,NA,NA,1939,1939,2013,Y,1939,2013,Y,,
HOW1039E,HOW1039,1,HOW,039,,,,,1,2,E,NA,NA,1894,1894,2013,Y,1894,2013,Y,,
HOW1039W,HOW1039,1,HOW,039,,,,,1,2,W,NA,NA,1894,1894,2013,Y,1894,2013,Y,,
HOW1040E,HOW1040,1,HOW,040,,,,,1,2,E,NA,NA,1929,1929,2013,Y,1929,2013,Y,,
HOW1040W,HOW1040,1,HOW,040,,,,,1,2,W,NA,NA,1929,1929,2013,Y,1929,2013,Y,,
HOW1041E,HOW1041,1,HOW,041,,,,,1,2,E,NA,NA,1932,1932,2013,Y,1932,2013,Y,,
HOW1041W,HOW1041,1,HOW,041,,,,,1,2,W,NA,NA,1932,1932,2013,Y,1932,2013,Y,,
HOW1042N,HOW1042,1,HOW,042,,,,,1,2,N,NA,NA,1948,1948,2013,Y,1948,2013,Y,,
HOW1042S,HOW1042,1,HOW,042,,,,,1,2,S,NA,NA,1948,1948,2013,Y,1948,2013,Y,,
HOW1043E,HOW1043,1,HOW,043,,,,,1,2,E,NA,NA,1929,1929,2013,Y,1929,2013,Y,,
HOW1043W,HOW1043,1,HOW,043,,,,,1,2,W,NA,NA,1930,1930,2013,Y,1930,2013,Y,,
HOW1044N,HOW1044,1,HOW,044,,,,,1,2,N,NA,NA,1887,1887,2013,Y,1887,2013,Y,,
