TreeID,CoreID,DBH..cm.,pith.offset,plot.id,Site,tree.number,species,canopy.class,live.dead,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,outer.present
NWB154,NWB154A,14.2,1,NWB,Niwot,20,ABLA,NA,LIVE,1,2,A,N,1915,1916,1916,2012,NA,NA,NA,Y,NA,NA,2012
NWB154,NWB154B,14.2,0,NWB,Niwot,20,ABLA,NA,LIVE,1,2,B,Y,1911,1911,1911,2012,NA,NA,NA,Y,NA,NA,2012
NWB161,NWB161A,28.2,8,NWB,Niwot,21,PICO,NA,LIVE,1,2,A,N,1763,1771,1771,2012,NA,NA,NA,Y,NA,NA,2012
NWB161,NWB161B,28.2,30,NWB,Niwot,21,PICO,NA,LIVE,1,2,B,N,1748,1778,1778,2012,NA,NA,NA,Y,NA,NA,2012
NWB162,NWB162A,20.1,12,NWB,Niwot,22,PIEN,NA,LIVE,1,2,A,N,1831,1843,1843,2012,NA,NA,NA,Y,NA,NA,2012
NWB162,NWB162B,20.1,20,NWB,Niwot,22,PIEN,NA,LIVE,1,2,B,N,1833,1853,1853,2012,NA,NA,NA,Y,NA,NA,2012
NWB163,NWB163A,9,0,NWB,Niwot,23,PIEN,NA,LIVE,1,2,A,Y,1922,1922,1922,2012,NA,NA,NA,Y,NA,NA,2012
NWB163,NWB163B,9,0,NWB,Niwot,23,PIEN,NA,LIVE,1,2,B,Y,1922,1922,1922,2012,NA,NA,NA,Y,NA,NA,2012
NWB164,NWB164A,9.1,10,NWB,Niwot,24,ABLA,NA,LIVE,1,2,A,N,1877,1887,1887,2012,NA,NA,NA,Y,NA,NA,2012
NWB164,NWB164B,9.1,10,NWB,Niwot,24,ABLA,NA,LIVE,1,2,B,N,1877,1887,1887,2012,NA,NA,NA,Y,NA,NA,2012
NWB211,NWB211A,13.8,0,NWB,Niwot,25,PICO,NA,LIVE,1,2,A,Y,1931,1931,1931,2012,NA,NA,NA,Y,NA,NA,2012
NWB211,NWB211B,13.8,0,NWB,Niwot,25,PICO,NA,LIVE,1,2,B,Y,1931,1931,1931,2012,NA,NA,NA,Y,NA,NA,2012
NWB212,NWB212A,22.7,1,NWB,Niwot,26,PICO,NA,LIVE,1,2,A,N,1779,1780,1780,2012,NA,NA,NA,Y,NA,NA,2012
NWB212,NWB212B,22.7,2,NWB,Niwot,26,PICO,NA,LIVE,1,2,B,N,1776,1778,1778,2012,NA,NA,NA,Y,NA,NA,2012
NWB213,NWB213A,14.5,4,NWB,Niwot,27,PICO,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB213,NWB213B,14.5,4,NWB,Niwot,27,PICO,NA,LIVE,1,2,B,N,1928,1932,1932,2012,NA,NA,NA,Y,NA,NA,2012
NWB214,NWB214A,8,0,NWB,Niwot,28,ABLA,NA,LIVE,1,2,A,Y,1933,1933,1933,2012,NA,NA,NA,Y,NA,NA,2012
NWB214,NWB214B,8,0,NWB,Niwot,28,ABLA,NA,LIVE,1,2,B,Y,1933,1933,1933,2012,NA,NA,NA,Y,NA,NA,2012
NWB221,NWB221A,22.9,14,NWB,Niwot,29,PIEN,NA,LIVE,1,2,A,N,1799,1813,1813,2012,NA,NA,NA,Y,NA,NA,2012
NWB221,NWB221B,22.9,NA,NWB,Niwot,29,PIEN,NA,LIVE,1,2,B,N,NA,1829,1829,2012,NA,NA,NA,Y,NA,NA,2012
NWB222,NWB222A,7.1,1,NWB,Niwot,30,ABLA,NA,LIVE,1,2,A,N,1935,1936,1936,2012,NA,NA,NA,Y,NA,NA,2012
NWB222,NWB222B,7.1,1,NWB,Niwot,30,ABLA,NA,LIVE,1,2,B,N,1935,1936,1936,2012,NA,NA,NA,Y,NA,NA,2012
NWB223,NWB223A,13,5,NWB,Niwot,31,ABLA,NA,LIVE,1,2,A,N,1808,1813,1813,2012,NA,NA,NA,Y,NA,NA,2012
NWB223,NWB223B,13,5,NWB,Niwot,31,ABLA,NA,LIVE,1,2,B,N,1911,1916,1916,2012,NA,NA,NA,Y,NA,NA,2012
NWB224,NWB224A,7.7,0,NWB,Niwot,32,ABLA,NA,DEAD,1,2,A,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB224,NWB224B,7.7,0,NWB,Niwot,32,ABLA,NA,DEAD,1,2,B,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB231,NWB231A,17.4,0,NWB,Niwot,33,PIEN,NA,LIVE,1,2,A,Y,1844,1844,1844,2012,NA,NA,NA,Y,NA,NA,2012
NWB231,NWB231B,17.4,0,NWB,Niwot,33,PIEN,NA,LIVE,1,2,B,Y,1843,1843,1843,2012,NA,NA,NA,Y,NA,NA,2012
NWB232,NWB232A,15.1,0,NWB,Niwot,34,ABLA,NA,LIVE,1,2,A,Y,1889,1889,1889,2012,NA,NA,NA,Y,NA,NA,2012
NWB232,NWB232B,15.1,0,NWB,Niwot,34,ABLA,NA,LIVE,1,2,B,Y,1889,1889,1889,2012,NA,NA,NA,Y,NA,NA,2012
NWB233,NWB233A,25,0,NWB,Niwot,35,PICO,NA,LIVE,1,2,A,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB233,NWB233B,25,8,NWB,Niwot,35,PICO,NA,LIVE,1,2,B,N,1900,1908,1908,2012,NA,NA,NA,Y,NA,NA,2012
NWB234,NWB234A,31.3,22,NWB,Niwot,36,PIEN,NA,LIVE,1,2,A,N,1797,1819,1819,2012,NA,NA,NA,Y,NA,NA,2012
NWB234,NWB234B,31.3,4,NWB,Niwot,36,PIEN,NA,LIVE,1,2,B,N,1804,1808,1808,2012,NA,NA,NA,Y,NA,NA,2012
NWB241,NWB241A,17.5,2,NWB,Niwot,37,ABLA,NA,DEAD,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB241,NWB241B,17.5,2,NWB,Niwot,37,ABLA,NA,DEAD,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB242,NWB242A,19,NA,NWB,Niwot,38,ABLA,NA,DEAD,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB242,NWB242B,19,NA,NWB,Niwot,38,ABLA,NA,DEAD,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB243,NWB243A,9.6,NA,NWB,Niwot,39,PICO,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB243,NWB243B,9.6,NA,NWB,Niwot,39,PICO,NA,LIVE,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB244,NWB244A,14.4,NA,NWB,Niwot,40,ABLA,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB244,NWB244B,14.4,NA,NWB,Niwot,40,ABLA,NA,LIVE,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB251,NWB251A,19.2,3,NWB,Niwot,41,PICO,NA,LIVE,1,2,A,N,1763,1766,1766,2012,NA,NA,NA,Y,NA,NA,2012
NWB251,NWB251B,19.2,3,NWB,Niwot,41,PICO,NA,LIVE,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB252,NWB252A,16.2,2,NWB,Niwot,42,PIEN,NA,LIVE,1,2,A,N,1922,1924,1924,2012,NA,NA,NA,Y,NA,NA,2012
NWB252,NWB252B,16.2,2,NWB,Niwot,42,PIEN,NA,LIVE,1,2,B,N,1922,1924,1924,2012,NA,NA,NA,Y,NA,NA,2012
NWB253,NWB253A,14.7,NA,NWB,Niwot,43,ABLA,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB253,NWB253B,14.7,NA,NWB,Niwot,43,ABLA,NA,LIVE,1,2,B,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB254,NWB254A,9.5,2,NWB,Niwot,44,ABLA,NA,LIVE,1,2,A,N,1921,1923,1923,2012,NA,NA,NA,Y,NA,NA,2012
NWB254,NWB254B,9.5,2,NWB,Niwot,44,ABLA,NA,LIVE,1,2,B,N,1921,1923,1923,2012,NA,NA,NA,Y,NA,NA,2012
NWB261,NWB261A,13.4,0,NWB,Niwot,45,ABLA,NA,LIVE,1,2,A,Y,1796,1796,1796,2012,NA,NA,NA,Y,NA,NA,2012
NWB261,NWB261B,13.4,0,NWB,Niwot,45,ABLA,NA,LIVE,1,2,B,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB262,NWB262A,7.6,0,NWB,Niwot,46,PIEN,NA,LIVE,1,2,A,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB262,NWB262B,7.6,0,NWB,Niwot,46,PIEN,NA,LIVE,1,2,B,Y,1920,1920,1920,2012,NA,NA,NA,Y,NA,NA,2012
NWB263,NWB263A,6,2,NWB,Niwot,47,PIEN,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB263,NWB263B,6,2,NWB,Niwot,47,PIEN,NA,LIVE,1,2,B,N,1928,1930,1930,2012,NA,NA,NA,Y,NA,NA,2012
NWB264,NWB264A,8.7,0,NWB,Niwot,48,PIEN,NA,LIVE,1,2,A,Y,1925,1925,1925,2012,NA,NA,NA,Y,NA,NA,2012
NWB264,NWB264B,8.7,0,NWB,Niwot,48,PIEN,NA,LIVE,1,2,B,Y,1925,1925,1925,2012,NA,NA,NA,Y,NA,NA,2012
NWB311,NWB311A,17.6,0,NWB,Niwot,49,PIEN,NA,LIVE,1,2,A,Y,1817,1817,1817,2012,NA,NA,NA,Y,NA,NA,2012
NWB311,NWB311B,17.6,0,NWB,Niwot,49,PIEN,NA,LIVE,1,2,B,Y,1817,1817,1817,2012,NA,NA,NA,Y,NA,NA,2012
NWB312,NWB312A,27.6,6,NWB,Niwot,50,PICO,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB312,NWB312B,27.6,7,NWB,Niwot,50,PICO,NA,LIVE,1,2,B,N,1783,1790,1790,2012,NA,NA,NA,Y,NA,NA,2012
NWB313,NWB313A,6.7,1,NWB,Niwot,51,ABLA,NA,LIVE,1,2,A,N,1861,1862,1862,2012,NA,NA,NA,Y,NA,NA,2012
NWB313,NWB313B,6.7,1,NWB,Niwot,51,ABLA,NA,LIVE,1,2,B,N,1861,1862,1862,2012,NA,NA,NA,Y,NA,NA,2012
NWB314,NWB314A,14.8,0,NWB,Niwot,52,PICO,NA,LIVE,1,2,A,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB314,NWB314B,14.8,0,NWB,Niwot,52,PICO,NA,LIVE,1,2,B,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB321,NWB321A,36.8,10,NWB,Niwot,53,PIEN,NA,LIVE,1,2,A,N,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB321,NWB321B,36.8,0,NWB,Niwot,53,PIEN,NA,LIVE,1,2,B,Y,1814,1814,1814,2012,NA,NA,NA,Y,NA,NA,2012
NWB322,NWB322A,16.1,0,NWB,Niwot,54,PIEN,NA,LIVE,1,2,A,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB322,NWB322B,16.1,0,NWB,Niwot,54,PIEN,NA,LIVE,1,2,B,Y,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA
NWB323,NWB323A,17,0,NWB,Niwot,55,PICO,NA,LIVE,1,2,A,Y,1929,1929,1929,2012,NA,NA,NA,Y,NA,NA,2012
