"TreeID","CoreID","dbh","plot.id","Site","tree.number","species","canopy.class","live.dead","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot","X","Species","Canopy.Class","Live.Dead","DBH..cm."
"NWB233","NWB233A",25,"NWB","Niwot",35,"PICO",NA,"LIVE",1,2,"A","Y",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB233","NWB233B",25,"NWB","Niwot",35,"PICO",NA,"LIVE",1,2,"B","N",1900,1908,1908,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB234","NWB234A",31.3,"NWB","Niwot",36,"PIEN",NA,"LIVE",1,2,"A","N",1797,1819,1819,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB234","NWB234B",31.3,"NWB","Niwot",36,"PIEN",NA,"LIVE",1,2,"B","N",1804,1808,1808,2012,NA,NA,NA,"Y",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB241","NWB241A",17.5,"NWB","Niwot",37,"ABLA",NA,"DEAD",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB241","NWB241B",17.5,"NWB","Niwot",37,"ABLA",NA,"DEAD",1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB242","NWB242A",19,"NWB","Niwot",38,"ABLA",NA,"DEAD",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB242","NWB242B",19,"NWB","Niwot",38,"ABLA",NA,"DEAD",1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB243","NWB243A",9.6,"NWB","Niwot",39,"PICO",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB243","NWB243B",9.6,"NWB","Niwot",39,"PICO",NA,"LIVE",1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB244","NWB244A",14.4,"NWB","Niwot",40,"ABLA",NA,"LIVE",1,2,"A","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
"NWB244","NWB244B",14.4,"NWB","Niwot",40,"ABLA",NA,"LIVE",1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,"NWB",NA,NA,NA,NA,NA
