CoreID,Site,plot.id,tree.number,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,species,canopy.class,live.dead,dbh
HOW1031S,HOW,1,31,1,2,S,NA,NA,1936,1936,2013,Y,1936,2013,Y,NA,NA,PCRU,C,LIVE,11.6
HOW1032E,HOW,1,32,1,2,E,NA,NA,1937,1937,2007,Y,1937,2007,Y,NA,NA,PCRU,I,LIVE,10.1
HOW1032W,HOW,1,32,1,2,W,NA,NA,1937,1937,2008,Y,1937,2008,Y,NA,NA,PCRU,I,LIVE,10.1
HOW1033S,HOW,1,33,1,2,S,NA,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,PCRU,C,LIVE,23.2
HOW1033N,HOW,1,33,1,2,N,NA,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,PCRU,C,LIVE,23.2
HOW1034S,HOW,1,34,1,2,S,NA,NA,1940,1940,2013,Y,1940,2013,Y,NA,NA,PCRU,I,LIVE,15.7
HOW1035E,HOW,1,35,1,2,E,NA,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PCRU,C,LIVE,25.5
HOW1035W,HOW,1,35,1,2,W,NA,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PCRU,C,LIVE,25.5
HOW1036S,HOW,1,36,1,2,S,NA,NA,1909,1909,2013,Y,1909,2013,Y,NA,NA,PCRU,I,LIVE,26.9
HOW1036N,HOW,1,36,1,2,N,NA,NA,1911,1911,2013,Y,1911,2013,Y,NA,NA,PCRU,I,LIVE,26.9
HOW1037E,HOW,1,37,1,2,E,NA,NA,1924,1924,2013,Y,1924,2013,Y,NA,NA,TSCA,I,LIVE,33.7
HOW1037S,HOW,1,37,1,2,S,NA,NA,1921,1921,1996,Y,1921,1996,Y,NA,NA,TSCA,I,LIVE,33.7
HOW1038E,HOW,1,38,1,2,E,NA,NA,1939,1939,2013,Y,1939,2013,Y,NA,NA,PCRU,C,LIVE,19.4
HOW1038W,HOW,1,38,1,2,W,NA,NA,1939,1939,2013,Y,1939,2013,Y,NA,NA,PCRU,C,LIVE,19.4
HOW1039E,HOW,1,39,1,2,E,NA,NA,1894,1894,2013,Y,1894,2013,Y,NA,NA,PCRU,C,LIVE,33
HOW1039W,HOW,1,39,1,2,W,NA,NA,1894,1894,2013,Y,1894,2013,Y,NA,NA,PCRU,C,LIVE,33
HOW1040W,HOW,1,40,1,2,W,NA,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,THOC,I,LIVE,15.6
HOW1040E,HOW,1,40,1,2,E,NA,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,THOC,I,LIVE,15.6
HOW1041E,HOW,1,41,1,2,E,NA,NA,1932,1932,2013,Y,1932,2013,Y,NA,NA,THOC,S,LIVE,12.4
HOW1041W,HOW,1,41,1,2,W,NA,NA,1932,1932,2013,Y,1932,2013,Y,NA,NA,THOC,S,LIVE,12.4
HOW1042N,HOW,1,42,1,2,N,NA,NA,1948,1948,2013,Y,1948,2013,Y,NA,NA,ACRU,S,LIVE,12.1
HOW1042S,HOW,1,42,1,2,S,NA,NA,1948,1948,2013,Y,1948,2013,Y,NA,NA,ACRU,S,LIVE,12.1
HOW1043E,HOW,1,43,1,2,E,NA,NA,1929,1929,2013,Y,1929,2013,Y,NA,NA,PCRU,C,LIVE,23.5
HOW1043W,HOW,1,43,1,2,W,NA,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PCRU,C,LIVE,23.5
HOW1044N,HOW,1,44,1,2,N,NA,NA,1887,1887,2013,Y,1887,2013,Y,NA,NA,PCRU,C,LIVE,20
HOW1044S,HOW,1,44,1,2,S,NA,NA,1887,1887,2013,Y,1887,2013,Y,NA,NA,PCRU,C,LIVE,20
HOW1045E,HOW,1,45,1,2,E,NA,NA,1903,1903,2013,Y,1903,2013,Y,NA,NA,PCRU,C,LIVE,20.9
HOW1045W,HOW,1,45,1,2,W,NA,NA,1903,1903,2013,Y,1903,2013,Y,NA,NA,PCRU,C,LIVE,20.9
HOW1046W,HOW,1,46,1,2,W,NA,NA,1874,1874,2011,Y,1874,2011,Y,NA,NA,PCRU,C,LIVE,23
HOW1046E,HOW,1,46,1,2,E,NA,NA,1874,1874,2009,Y,1874,2009,Y,NA,NA,PCRU,C,LIVE,23
HOW1047W,HOW,1,47,1,2,W,NA,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PCRU,C,LIVE,20.1
HOW1047E,HOW,1,47,1,2,E,NA,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PCRU,C,LIVE,20.1
HOW1048N,HOW,1,48,1,2,N,NA,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,24.8
HOW1048S,HOW,1,48,1,2,S,NA,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,24.8
HOW1049E,HOW,1,49,1,2,E,NA,NA,1862,1862,2013,Y,1862,2013,Y,NA,NA,PCRU,C,LIVE,37.4
HOW1049W,HOW,1,49,1,2,W,NA,NA,1875,1875,2013,Y,1875,2013,Y,NA,NA,PCRU,C,LIVE,37.4
HOW1050N,HOW,1,50,1,2,N,NA,NA,1869,1869,2009,Y,1869,2009,Y,NA,NA,THOC,SNAG,DEAD,19.1
HOW1051E,HOW,1,51,1,2,E,NA,NA,1891,1891,2013,Y,1891,2013,Y,NA,NA,THOC,I,LIVE,22.7
HOW1051W,HOW,1,51,1,2,W,NA,NA,1876,1876,2013,Y,1876,2013,Y,NA,NA,THOC,I,LIVE,22.7
HOW1052N,HOW,1,52,1,2,N,NA,NA,1875,1875,2013,Y,1875,2013,Y,NA,NA,THOC,C,LIVE,22.7
HOW1052S,HOW,1,52,1,2,S,NA,NA,1875,1875,2013,Y,1875,2013,Y,NA,NA,THOC,C,LIVE,22.7
HOW1053E,HOW,1,53,1,2,E,NA,NA,1863,1863,2013,Y,1863,2013,Y,NA,NA,THOC,C,LIVE,23.4
HOW1053W,HOW,1,53,1,2,W,NA,NA,1864,1864,2013,Y,1864,2013,Y,NA,NA,THOC,C,LIVE,23.4
HOW1054W,HOW,1,54,1,2,W,NA,NA,1883,1883,2013,Y,1883,2013,Y,NA,NA,PCRU,C,LIVE,22.6
HOW1054E,HOW,1,54,1,2,E,NA,NA,1884,1884,2013,Y,1884,2013,Y,NA,NA,PCRU,C,LIVE,22.6
HOW1055N,HOW,1,55,1,2,N,NA,NA,1866,1866,2013,Y,1866,2013,Y,NA,NA,PCRU,C,LIVE,25.8
HOW1055S,HOW,1,55,1,2,S,NA,NA,1867,1867,2013,Y,1867,2013,Y,NA,NA,PCRU,C,LIVE,25.8
HOW1061E,HOW,1,61,1,2,E,NA,NA,1911,1911,2013,Y,1911,2013,Y,NA,NA,PCRU,D,LIVE,24.8
HOW1061W,HOW,1,61,1,2,W,NA,NA,1911,1911,2013,Y,1911,2013,Y,NA,NA,PCRU,D,LIVE,24.8
HOW1062E,HOW,1,62,1,2,E,NA,NA,1953,1953,2013,Y,1953,2013,Y,NA,NA,TSCA,I,LIVE,24.5
HOW1062W,HOW,1,62,1,2,W,NA,NA,1953,1953,2013,Y,1953,2013,Y,NA,NA,TSCA,I,LIVE,24.5
HOW1063E,HOW,1,63,1,2,E,NA,NA,1970,1970,2013,Y,1970,2013,Y,NA,NA,TSCA,SNAG,DEAD,28.5
HOW1064E,HOW,1,64,1,2,E,NA,NA,1942,1942,2013,Y,1942,2013,Y,NA,NA,PCRU,C,LIVE,23.1
HOW1064W,HOW,1,64,1,2,W,NA,NA,1943,1943,2013,Y,1943,2013,Y,NA,NA,PCRU,C,LIVE,23.1
HOW1065E,HOW,1,65,1,2,E,NA,NA,1884,1884,2013,Y,1884,2013,Y,NA,NA,THOC,I,LIVE,28.2
HOW1065W,HOW,1,65,1,2,W,NA,NA,1880,1880,2013,Y,1880,2013,Y,NA,NA,THOC,I,LIVE,28.2
HOW1066S,HOW,1,66,1,2,S,NA,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,PCRU,C,LIVE,26.4
HOW1066N,HOW,1,66,1,2,N,NA,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,PCRU,C,LIVE,26.4
HOW1067E,HOW,1,67,1,2,E,NA,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,PCRU,I,LIVE,14.8
HOW1067W,HOW,1,67,1,2,W,NA,NA,1871,1871,2013,Y,1871,2013,Y,NA,NA,PCRU,I,LIVE,14.8
HOW1068N,HOW,1,68,1,2,N,NA,NA,1890,1890,2013,Y,1890,2013,Y,NA,NA,PCRU,C,LIVE,19.1
HOW1068S,HOW,1,68,1,2,S,NA,NA,1890,1890,2013,Y,1890,2013,Y,NA,NA,PCRU,C,LIVE,19.1
HOW1069E,HOW,1,69,1,2,E,NA,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,TSCA,C,LIVE,25.8
