"Site.Code","year","pJan","pFeb","pMar","pApr","pMay","pJun","pJul","pAug","pSep","pOct","pNov","pDec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"GB","1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79354716895298,1.67111110204718,2.77192492348031,6.50024803577577,13.3262062455008,16.2677734175044,12.5976106468916,10.9617725155807,9.93570721634306,5.42721190899231,3.42658868549492,2.25389089389669
"GB","1896",1.79354716895298,1.67111110204718,2.77192492348031,6.50024803577577,13.3262062455008,16.2677734175044,12.5976106468916,10.9617725155807,9.93570721634306,5.42721190899231,3.42658868549492,2.25389089389669,1.26594739255064,1.50864539834102,2.35893231865772,7.62406038258135,12.1478496344132,12.5803014641608,12.9158677007491,12.3421869004886,8.36477282837313,5.03886260476889,3.97588143965394,1.68996004623343
"GB","1897",1.26594739255064,1.50864539834102,2.35893231865772,7.62406038258135,12.1478496344132,12.5803014641608,12.9158677007491,12.3421869004886,8.36477282837313,5.03886260476889,3.97588143965394,1.68996004623343,1.83857997110841,2.07159071571744,3.46255166830768,6.53578786301749,9.66142156388217,10.2266061877296,11.1468806732688,9.36709751350614,9.44771769160339,8.58919755040289,2.89038724980893,1.85857995203493
"GB","1898",1.83857997110841,2.07159071571744,3.46255166830768,6.53578786301749,9.66142156388217,10.2266061877296,11.1468806732688,9.36709751350614,9.44771769160339,8.58919755040289,2.89038724980893,1.85857995203493,1.18164023755368,1.66301725033686,4.63945603280616,5.12537168361156,6.71629019586065,9.00734626766936,14.9711919603366,10.6034718508701,9.97253422860964,5.84226777090754,2.97098326243236,1.77818398360447
"GB","1899",1.18164023755368,1.66301725033686,4.63945603280616,5.12537168361156,6.71629019586065,9.00734626766936,14.9711919603366,10.6034718508701,9.97253422860964,5.84226777090754,2.97098326243236,1.77818398360447,2.05918861546818,1.81586698608926,2.92608469731978,8.26523102694822,11.4232068712601,12.7200610432276,13.7139509045775,14.2976413144967,8.88672607613024,7.3422349249148,3.14555593709439,2.02966052275132
"GB","1900",2.05918861546818,1.81586698608926,2.92608469731978,8.26523102694822,11.4232068712601,12.7200610432276,13.7139509045775,14.2976413144967,8.88672607613024,7.3422349249148,3.14555593709439,2.02966052275132,2.22706528695722,1.81815081596523,2.62580654010321,6.36491498583751,11.21959550192,15.0987800855071,15.1395702987867,12.6502185875895,9.94116545229915,8.41804176812505,3.01838158440739,1.90801984532455
"GB","1901",2.22706528695722,1.81815081596523,2.62580654010321,6.36491498583751,11.21959550192,15.0987800855071,15.1395702987867,12.6502185875895,9.94116545229915,8.41804176812505,3.01838158440739,1.90801984532455,1.88237983207036,1.39928725221549,3.13361906210535,6.31664397043724,8.33563398736075,14.5410995581168,14.4964387704529,10.6717405139246,9.6942639384177,7.52284205724845,2.68067044421421,1.83889273843772
"GB","1902",1.88237983207036,1.39928725221549,3.13361906210535,6.31664397043724,8.33563398736075,14.5410995581168,14.4964387704529,10.6717405139246,9.6942639384177,7.52284205724845,2.68067044421421,1.83889273843772,1.80517598709094,2.32435232105086,4.68085516810942,6.68808937256641,9.3816518700403,10.4006085466048,11.6161447528489,10.4860324948964,10.1946396241229,5.94884714547277,5.84108321634653,1.87989593155642
"GB","1903",1.80517598709094,2.32435232105086,4.68085516810942,6.68808937256641,9.3816518700403,10.4006085466048,11.6161447528489,10.4860324948964,10.1946396241229,5.94884714547277,5.84108321634653,1.87989593155642,1.97478149611514,2.24836493295776,5.6010052364665,6.93439088643331,15.7090882634628,9.91103687702914,11.9192478310448,7.86517780010011,12.9942620238431,6.68440528947271,3.57474863470261,1.58116337286585
"GB","1904",1.97478149611514,2.24836493295776,5.6010052364665,6.93439088643331,15.7090882634628,9.91103687702914,11.9192478310448,7.86517780010011,12.9942620238431,6.68440528947271,3.57474863470261,1.58116337286585,1.45940503481914,1.79369586276563,3.36633340623848,5.47985134083285,13.6444327971615,14.1330932687302,12.5864501196263,12.0417378685215,8.11712126555645,6.19001578899628,3.37693742491082,1.50690339485517
