"Site.Code","year","pJan","pFeb","pMar","pApr","pMay","pJun","pJul","pAug","pSep","pOct","pNov","pDec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"GB","1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.197146119356,-17.7725708632179,-12.7488481410302,-3.09476333554518,5.07777733469781,10.8530902771751,9.4938250564688,9.5652108391286,6.99383083752762,-2.28587565307158,-5.0866336777193,-10.9272316130431
"GB","1896",-15.197146119356,-17.7725708632179,-12.7488481410302,-3.09476333554518,5.07777733469781,10.8530902771751,9.4938250564688,9.5652108391286,6.99383083752762,-2.28587565307158,-5.0866336777193,-10.9272316130431,-15.7179596166928,-14.7752730108522,-13.9037511569847,-2.07443922515396,5.75404312187682,8.08732044902357,12.0300142695657,10.720213846173,6.10269813050034,0.0169810090924836,-3.44258647652869,-13.4725116545689
"GB","1897",-15.7179596166928,-14.7752730108522,-13.9037511569847,-2.07443922515396,5.75404312187682,8.08732044902357,12.0300142695657,10.720213846173,6.10269813050034,0.0169810090924836,-3.44258647652869,-13.4725116545689,-15.5142086151221,-14.4899759123241,-9.62339747366772,-3.30569107950594,2.89609104382265,6.96381042431686,11.9551101690515,9.82545981776238,6.34891088319633,0.790260440192429,-5.85726554846524,-11.4907481855293
"GB","1898",-15.5142086151221,-14.4899759123241,-9.62339747366772,-3.30569107950594,2.89609104382265,6.96381042431686,11.9551101690515,9.82545981776238,6.34891088319633,0.790260440192429,-5.85726554846524,-11.4907481855293,-15.1061197276995,-10.1675145041797,-5.48313727785148,-4.10981521554206,4.46867969368623,9.53699676919376,11.2482613012594,11.2543670337075,7.72462680164688,2.31127554951598,-5.42536471278823,-11.1000861393173
"GB","1899",-15.1061197276995,-10.1675145041797,-5.48313727785148,-4.10981521554206,4.46867969368623,9.53699676919376,11.2482613012594,11.2543670337075,7.72462680164688,2.31127554951598,-5.42536471278823,-11.1000861393173,-15.177205014998,-14.5979285858193,-10.2581340256554,-2.77652936719062,2.67765348637407,9.87999159772771,10.7889751157633,8.97124561347528,5.45457319555609,2.55485005929495,-4.64679351629068,-10.1163293900504
"GB","1900",-15.177205014998,-14.5979285858193,-10.2581340256554,-2.77652936719062,2.67765348637407,9.87999159772771,10.7889751157633,8.97124561347528,5.45457319555609,2.55485005929495,-4.64679351629068,-10.1163293900504,-14.4952467682412,-14.1928175658291,-14.0900100870238,-2.4651415550743,1.74636138903229,9.03989908521551,11.7896845114771,11.4466925639112,7.84807812203325,3.88922138169183,-4.1715840148293,-13.1066906521429
"GB","1901",-14.4952467682412,-14.1928175658291,-14.0900100870238,-2.4651415550743,1.74636138903229,9.03989908521551,11.7896845114771,11.4466925639112,7.84807812203325,3.88922138169183,-4.1715840148293,-13.1066906521429,-14.9076182469569,-16.3320018363418,-9.87945037102851,-1.29090068340885,4.49467987369288,9.63690784492414,12.5320666431215,11.6008867731678,6.88595330873542,1.18902764015228,-7.54413217774479,-12.3778335676935
"GB","1902",-14.9076182469569,-16.3320018363418,-9.87945037102851,-1.29090068340885,4.49467987369288,9.63690784492414,12.5320666431215,11.6008867731678,6.88595330873542,1.18902764015228,-7.54413217774479,-12.3778335676935,-16.8199366908221,-15.1345420208909,-5.47300132358293,-1.44071746507573,2.09247824009862,6.40185738225469,10.472939570158,7.71767576876366,6.89240211959193,-0.294689966230433,-3.3551351502214,-15.0622113258397
"GB","1903",-16.8199366908221,-15.1345420208909,-5.47300132358293,-1.44071746507573,2.09247824009862,6.40185738225469,10.472939570158,7.71767576876366,6.89240211959193,-0.294689966230433,-3.3551351502214,-15.0622113258397,-13.7937176856377,-12.0150487143389,-4.38473006247802,-3.36012788286754,2.13178148307574,6.49559187476773,10.0534653646179,6.77848536728455,5.64853805690429,1.16886126816278,-7.62738965523549,-15.3705828231272
"GB","1904",-13.7937176856377,-12.0150487143389,-4.38473006247802,-3.36012788286754,2.13178148307574,6.49559187476773,10.0534653646179,6.77848536728455,5.64853805690429,1.16886126816278,-7.62738965523549,-15.3705828231272,-19.5605266998275,-19.2708528180756,-10.8259629653743,-4.09149030794871,5.13749419430787,7.82044134185193,10.2708341213532,8.00967103096037,4.44157559064504,-0.988193992275986,-9.09697642552725,-18.3771145611332
"GB","1905",-19.5605266998275,-19.2708528180756,-10.8259629653743,-4.09149030794871,5.13749419430787,7.82044134185193,10.2708341213532,8.00967103096037,4.44157559064504,-0.988193992275986,-9.09697642552725,-18.3771145611332,-17.1106271072564,-18.9015618928581,-10.8381979006958,-3.38029200454514,3.14718141744182,8.01012861726398,11.3802908481909,8.45625963810671,6.57039650651051,0.336755604953185,-6.54549453507771,-10.8535441393723
"GB","1906",-17.1106271072564,-18.9015618928581,-10.8381979006958,-3.38029200454514,3.14718141744182,8.01012861726398,11.3802908481909,8.45625963810671,6.57039650651051,0.336755604953185,-6.54549453507771,-10.8535441393723,-10.6386510097023,-15.5832905577939,-12.5114557637318,-3.27754306304114,2.07072129510717,8.3456917845344,9.68613076661901,10.1382550216825,5.92388139825612,0.777711588130177,-6.27949519013493,-15.5983938090582
"GB","1907",-10.6386510097023,-15.5832905577939,-12.5114557637318,-3.27754306304114,2.07072129510717,8.3456917845344,9.68613076661901,10.1382550216825,5.92388139825612,0.777711588130177,-6.27949519013493,-15.5983938090582,-15.9088975045979,-18.8708706661586,-8.37049864167413,-5.28923583505592,0.171358191188458,7.53935585324878,10.483795859809,7.71544040741517,7.56807809029652,-1.9076043445889,-5.67807916880566,-9.56012240448092
