"Site.Code","year","pJan","pFeb","pMar","pApr","pMay","pJun","pJul","pAug","pSep","pOct","pNov","pDec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"GB","1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.80325195623653,-6.8486711273681,-0.875809285970298,9.15677816175146,19.1996545138657,24.1496579245161,21.8102945306823,21.4923466996271,19.0469868289035,8.60620743830838,4.32746048100191,-0.756149612694414
"GB","1896",-4.80325195623653,-6.8486711273681,-0.875809285970298,9.15677816175146,19.1996545138657,24.1496579245161,21.8102945306823,21.4923466996271,19.0469868289035,8.60620743830838,4.32746048100191,-0.756149612694414,-7.18076189019095,-5.09001670868779,-2.47891445920608,10.7315264625074,18.8194994357687,20.9153627387571,23.2457699632121,22.4701288714236,17.1556073105499,9.09428897528437,5.77869313243176,-4.36624958407469
"GB","1897",-7.18076189019095,-5.09001670868779,-2.47891445920608,10.7315264625074,18.8194994357687,20.9153627387571,23.2457699632121,22.4701288714236,17.1556073105499,9.09428897528437,5.77869313243176,-4.36624958407469,-4.49498102098383,-3.26339748359053,1.67515171133468,9.20183947449467,16.0146213145224,18.7440072725264,22.9753160192082,20.1391031384922,17.7733889597391,13.9543953450382,2.790515786314,-2.20170788053071
"GB","1898",-4.49498102098383,-3.26339748359053,1.67515171133468,9.20183947449467,16.0146213145224,18.7440072725264,22.9753160192082,20.1391031384922,17.7733889597391,13.9543953450382,2.790515786314,-2.20170788053071,-6.43246310891057,-3.79053259654694,5.29692059703413,6.76505312076842,13.4996876812913,18.9588071701943,24.1055055131583,22.2517868506452,19.3403269192926,11.7666074528784,2.83544217689111,-3.2267760333174
"GB","1899",-6.43246310891057,-3.79053259654694,5.29692059703413,6.76505312076842,13.4996876812913,18.9588071701943,24.1055055131583,22.2517868506452,19.3403269192926,11.7666074528784,2.83544217689111,-3.2267760333174,-3.95176970724437,-5.13471743236712,0.170768518761785,10.9588674768899,17.3214598699185,21.6716874328604,23.2333637963998,23.1499110736275,17.4564089007796,13.2356236529415,3.16934212877584,-1.31232656669972
"GB","1900",-3.95176970724437,-5.13471743236712,0.170768518761785,10.9588674768899,17.3214598699185,21.6716874328604,23.2333637963998,23.1499110736275,17.4564089007796,13.2356236529415,3.16934212877584,-1.31232656669972,-2.6857050415364,-4.21750241735132,-1.96798036979216,8.83071903484099,16.4897368388254,22.9819375017767,24.1503199824951,23.2107316977293,19.4330055328842,15.3888977465669,4.03537159033311,-2.97170654302621
"GB","1901",-2.6857050415364,-4.21750241735132,-1.96798036979216,8.83071903484099,16.4897368388254,22.9819375017767,24.1503199824951,23.2107316977293,19.4330055328842,15.3888977465669,4.03537159033311,-2.97170654302621,-4.46012502963408,-7.88811121925693,0.637842840131959,9.62695571786504,15.1106931762588,22.6476968231658,24.6281204720761,22.4182190425045,18.7687999068768,12.5071505398072,0.637920484331962,-2.83210246188545
"GB","1902",-4.46012502963408,-7.88811121925693,0.637842840131959,9.62695571786504,15.1106931762588,22.6476968231658,24.6281204720761,22.4182190425045,18.7687999068768,12.5071505398072,0.637920484331962,-2.83210246188545,-5.02826572302794,-3.11396174480685,5.33389568755175,9.86259545124173,15.1739317048997,18.9675310113191,21.8293893195465,20.4556053606183,18.9700973939961,11.1689625875916,8.53135062039369,-3.69404171461437
"GB","1903",-5.02826572302794,-3.11396174480685,5.33389568755175,9.86259545124173,15.1739317048997,18.9675310113191,21.8293893195465,20.4556053606183,18.9700973939961,11.1689625875916,8.53135062039369,-3.69404171461437,-3.82477859294356,-2.32659289356127,7.46107091196727,9.70432448742081,20.1509063077794,18.6733534481363,21.9630044575876,18.272643442878,20.4666127666869,12.4118066825275,2.83514207367616,-5.23598319875298
"GB","1904",-3.82477859294356,-2.32659289356127,7.46107091196727,9.70432448742081,20.1509063077794,18.6733534481363,21.9630044575876,18.272643442878,20.4666127666869,12.4118066825275,2.83514207367616,-5.23598319875298,-7.82459519885664,-6.82183696068913,0.835560329146323,7.13960444719613,19.6201328034459,22.0897845326777,22.2439073849644,21.554088594531,16.6270355500096,10.3922200877034,2.20254677674774,-6.36525780235935
"GB","1905",-7.82459519885664,-6.82183696068913,0.835560329146323,7.13960444719613,19.6201328034459,22.0897845326777,22.2439073849644,21.554088594531,16.6270355500096,10.3922200877034,2.20254677674774,-6.36525780235935,-6.55765927187327,-6.04759599892247,2.94324197518957,8.66346840601265,15.939654255156,20.8148351744572,22.6629218160018,21.3648619258237,18.0917733708778,13.1148976888447,3.49330284541876,-0.725587353373563
"GB","1906",-6.55765927187327,-6.04759599892247,2.94324197518957,8.66346840601265,15.939654255156,20.8148351744572,22.6629218160018,21.3648619258237,18.0917733708778,13.1148976888447,3.49330284541876,-0.725587353373563,0.59152146940713,-2.20287609238385,-1.47656437360136,9.14407719456991,15.8102802494757,21.9998660972673,23.2237596590852,24.5663603105282,20.7270358876073,13.2024966691186,2.94739627483892,-4.43057356255988
"GB","1907",0.59152146940713,-2.20287609238385,-1.47656437360136,9.14407719456991,15.8102802494757,21.9998660972673,23.2237596590852,24.5663603105282,20.7270358876073,13.2024966691186,2.94739627483892,-4.43057356255988,-5.01408901829931,-6.98517779795253,3.84261652493035,6.54223525672666,12.4066089373917,21.4500607072967,23.3150936867162,21.8322301587278,17.602315060609,9.3803243800113,2.8298789168519,-0.233977670727639
