"CoreID","TreeID","plot.id","Site","tree.number","Species","Canopy.Class","Live.Dead","DBH..cm.","stems","total.cores","core.id","pith.preset","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot"
"ACA013A","ACA013","ACA","Austin Cary FL",13,"PIPA","C","LIVE",22.8,1,2,"A","Y",1946,1946,1947,2014,"Y",1947,2014,"Y",NA,NA,"A"
"ACA013B","ACA013","ACA","Austin Cary FL",13,"PIPA","C","LIVE",22.8,1,2,"B","N",1946,1946,1947,2014,"Y",1947,2014,"Y",NA,NA,"A"
"ACA014A","ACA014","ACA","Austin Cary FL",14,"PIPA","C","LIVE",34.8,1,2,"A","Y",1932,1932,1933,2014,"Y",1933,2014,"Y",NA,NA,"A"
"ACA014B","ACA014","ACA","Austin Cary FL",14,"PIPA","C","LIVE",34.8,1,2,"B","Y",1931,1931,1932,2014,"Y",1932,2014,"Y",NA,NA,"A"
"ACA015A","ACA015","ACA","Austin Cary FL",15,"PIPA","C","LIVE",17.1,1,2,"A","N",1936,1939,1940,2011,"Y",NA,NA,"N",NA,"Y","A"
"ACA015B","ACA015","ACA","Austin Cary FL",15,"PIPA","C","LIVE",17.1,1,2,"B",NA,NA,1953,1954,2014,"Y",NA,NA,"N",NA,"Y","A"
"ACA016A","ACA016","ACA","Austin Cary FL",16,"PIPA","C","LIVE",36.2,1,2,"A","Y",1925,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"A"
"ACA016B","ACA016","ACA","Austin Cary FL",16,"PIPA","C","LIVE",36.2,1,2,"B","Y",1926,1926,1927,2014,"Y",1927,2014,"Y",NA,NA,"A"
"ACA017A","ACA017","ACA","Austin Cary FL",17,"PIPA","C","LIVE",42.2,1,2,"A","Y",1920,1920,1921,2014,"Y",1921,2014,"Y",NA,NA,"A"
"ACA017B","ACA017","ACA","Austin Cary FL",17,"PIPA","C","LIVE",42.2,1,2,"B","Y",1920,1920,1921,2014,"Y",1921,2014,"Y",NA,NA,"A"
"ACA018A","ACA018","ACA","Austin Cary FL",18,"PIPA","C","LIVE",27.2,1,2,"A","N",1927,1936,1937,2014,"Y",1937,2014,"Y",NA,NA,"A"
"ACA018B","ACA018","ACA","Austin Cary FL",18,"PIPA","C","LIVE",27.2,1,2,"B","N",1931,1933,1934,2011,"Y",1934,2011,"Y",NA,"Y","A"
"ACA019A","ACA019","ACA","Austin Cary FL",19,"PIPA","C","LIVE",26.7,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A"
"ACA019B","ACA019","ACA","Austin Cary FL",19,"PIPA","C","LIVE",26.7,1,2,"B","N",1932,1936,1937,2014,"Y",1937,2014,"N",NA,NA,"A"
"ACA020A","ACA020","ACA","Austin Cary FL",20,"PIPA","C","LIVE",23.5,1,2,"A","Y",1919,1919,1920,1990,"N",1920,1990,"Y","BREAK",NA,"A"
"ACA020B","ACA020","ACA","Austin Cary FL",20,"PIPA","C","LIVE",23.5,1,2,"B","N",1915,1919,1920,1993,"Y",1920,1993,"Y","BREAK",NA,"A"
"ACA021A","ACA021","ACA","Austin Cary FL",21,"PIPA","C","LIVE",42.9,1,2,"A","N",1920,1920,1921,2014,"Y",1921,2014,"Y",NA,NA,"A"
"ACA021B","ACA021","ACA","Austin Cary FL",21,"PIPA","C","LIVE",42.9,1,2,"B","N",NA,1923,1924,2014,"Y",NA,NA,"N",NA,"Y","A"
"ACA023A","ACA023","ACA","Austin Cary FL",23,"PIPA","C","LIVE",31.8,1,2,"A","N",1922,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"A"
"ACA023B","ACA023","ACA","Austin Cary FL",23,"PIPA","C","LIVE",31.8,1,2,"B","N",1921,1926,1927,2014,"Y",1927,2013,"Y",NA,NA,"A"
"ACA024A","ACA024","ACA","Austin Cary FL",24,"PIPA","C","LIVE",38,1,2,"A",NA,NA,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"A"
"ACA024B","ACA024","ACA","Austin Cary FL",24,"PIPA","C","LIVE",38,1,2,"B","N",1918,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"A"
"ACA025A","ACA025","ACA","Austin Cary FL",25,"PIPA","C","LIVE",35,1,2,"A",NA,NA,1939,1940,2014,"Y",1940,2014,"Y",NA,NA,"A"
"ACA025B","ACA025","ACA","Austin Cary FL",25,"PIPA","C","LIVE",35,1,2,"B",NA,NA,1924,1925,2014,"Y",1925,2014,"Y",NA,NA,"A"
"ACA026A","ACA026","ACA","Austin Cary FL",26,"PIPA","C","LIVE",22.8,1,2,"A",NA,NA,1921,1922,2007,"Y",1922,2007,"Y",NA,"Y","A"
"ACA026B","ACA026","ACA","Austin Cary FL",26,"PIPA","C","LIVE",22.8,1,2,"B","Y",1921,1921,1922,2006,"Y",1922,2006,"Y",NA,"Y","A"
"ACA027A","ACA027","ACA","Austin Cary FL",27,"PIPA","C","LIVE",34.8,1,2,"A","N",1917,1927,1928,2014,"Y",1928,2014,"Y",NA,NA,"A"
"ACA027B","ACA027","ACA","Austin Cary FL",27,"PIPA","C","LIVE",34.8,1,2,"B","N",1917,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"A"
"ACA028A","ACA028","ACA","Austin Cary FL",28,"PIPA","C","LIVE",35.6,1,2,"A",NA,NA,1923,1924,2008,"Y",1924,2008,"Y",NA,"Y","A"
"ACA028B","ACA028","ACA","Austin Cary FL",28,"PIPA","C","LIVE",35.6,1,2,"B","N",1918,1921,1922,2007,"Y",1922,2007,"Y",NA,"Y","A"
"ACA029A","ACA029","ACA","Austin Cary FL",29,"PIPA","C","LIVE",37.2,1,2,"A","N",1944,1949,1950,2014,"Y",1950,2014,"Y",NA,NA,"A"
"ACA029B","ACA029","ACA","Austin Cary FL",29,"PIPA","C","LIVE",37.2,1,2,"B",NA,NA,1960,1961,2014,"Y",1961,2014,"Y",NA,NA,"A"
"ACA030A","ACA030","ACA","Austin Cary FL",30,"PIPA","C","LIVE",22.2,1,2,"A","N",1944,1947,1948,2011,"Y",1948,2011,"Y",NA,"Y","A"
"ACA030B","ACA030","ACA","Austin Cary FL",30,"PIPA","C","LIVE",22.2,1,2,"B","N",1951,1958,1959,2011,"Y",1959,2011,"Y",NA,"Y","A"
