"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith"
"NWB411","NWB","Niwot","ABLA","C","DEAD",20.5,1,2,"B","N",NA
"NWB412","NWB","Niwot","PIEN","C","LIVE",21.2,1,2,"B","Y",1904
"NWB413","NWB","Niwot","ABLA","C","LIVE",12.3,1,2,"B","Y",1921
"NWB414","NWB","Niwot","ABLA","C","LIVE",14.3,1,2,"B","Y",1915
"NWB421","NWB","Niwot","ABLA","C","LIVE",7.1,1,2,"B","Y",1928
"NWB422","NWB","Niwot","PIEN","C","LIVE",29,1,2,"B","Y",1799
"NWB423","NWB","Niwot","PIEN","C","LIVE",17.7,1,2,"B","Y",1811
"NWB424","NWB","Niwot","PICO","C","LIVE",36.8,1,2,"B","Y",1795.5
"NWB431","NWB","Niwot","PIEN","C","LIVE",28.7,1,2,"B","Y",1758
"NWB432","NWB","Niwot","ABLA","C","LIVE",25,1,2,"B","Y",1912.5
"NWB433","NWB","Niwot","ABLA","C","LIVE",12.5,1,2,"B","Y",1921
"NWB434","NWB","Niwot","ABLA","C","LIVE",8.7,1,2,"B","Y",1906
"NWB441","NWB","Niwot","PICO","C","LIVE",36.1,1,2,"B","Y",1764.5
"NWB442","NWB","Niwot","PIEN","C","DEAD",41.4,1,2,"B","Y",1921
"NWB443","NWB","Niwot","PICO","C","LIVE",10,1,2,"B","Y",1946
"NWB444","NWB","Niwot","ABLA","C","LIVE",8.7,1,2,"B","Y",1931
"NWB451","NWB","Niwot","ABLA","C","LIVE",18.7,1,2,"B","Y",1907
"NWB452","NWB","Niwot","ABLA","C","LIVE",18.7,1,2,"B","Y",1820
"NWB453","NWB","Niwot","ABLA","C","LIVE",12.7,1,2,"B","Y",1920
"NWB454","NWB","Niwot","ABLA","C","LIVE",15.6,1,2,"B","Y",1925
"NWB461","NWB","Niwot","PICO","C","LIVE",27.6,1,2,"B","Y",1823
"NWB462","NWB","Niwot","PIEN","C","LIVE",6.4,1,2,"B","Y",1924
"NWB463","NWB","Niwot","ABLA","C","LIVE",9.5,1,2,"B","Y",1932
"NWB464","NWB","Niwot","PICO","C","LIVE",25.1,1,2,"B","Y",1802
"NWB511","NWB","Niwot","ABLA","C","LIVE",10.1,1,2,"B","Y",1928
"NWB512","NWB","Niwot","PIEN","C","LIVE",24.5,1,2,"B","Y",1845
"NWB513","NWB","Niwot","PIEN","C","LIVE",20.3,1,2,"B","Y",1867
"NWB514","NWB","Niwot","ABLA","C","LIVE",16.2,1,2,"B","Y",1912
"NWB521","NWB","Niwot","ABLA","C","LIVE",15.3,1,2,"B","Y",1899
