"Site","tmean","precip","Year"
"Morgan Monroe State Park",21.2629504634727,582.171070333535,1902
"Oak Openings Toledo",18.9239853085481,626.343994574565,1902
"Savannah River",26.1317723993922,517.506094970299,1902
"Valles Caldera Lower",14.1209119473447,221.421023827135,1902
"Valles Caldera Upper",12.1123844520141,246.193526835763,1902
"Willow Creek",14.5586485342347,442.53046097938,1902
"Austin Cary FL",25.7676541382861,840.362886214631,1903
"Duke Hardwood",22.8886400519129,405.628057306966,1903
"Duke Loblolly",22.8860585057563,405.625670640096,1903
"Florida Plantation",25.7736396448652,855.399562185992,1903
"Harvard",15.6648993549039,519.419556923529,1903
"Howland",15.2635876192258,343.014599267918,1903
"Michigan AmerifluxTower",15.4099822962113,394.192226753545,1903
"Michigan Facet Site",15.4304809690033,393.687724564578,1903
"Missouri Ozark",21.4428268858347,566.866853516455,1903
"Morgan Monroe State Park",21.0657381852716,387.976348682691,1903
"Oak Openings Toledo",19.1212889648162,437.206725808011,1903
"Savannah River",24.986859166818,637.522653352241,1903
"Valles Caldera Lower",12.5423956687201,251.763510966828,1903
"Valles Caldera Upper",10.5776567777306,288.58730232885,1903
"Willow Creek",14.3883886794472,681.980227091543,1903
"Austin Cary FL",25.6437405488089,637.028759176808,1904
"Duke Hardwood",22.7078507913287,590.654553334336,1904
"Duke Loblolly",22.7101060854245,589.160668423376,1904
"Florida Plantation",25.6225732992627,654.909317738809,1904
"Harvard",16.5996135850602,488.00030219672,1904
"Howland",15.8651494162853,570.51996578222,1904
"Michigan AmerifluxTower",15.360693280488,433.483427259009,1904
"Michigan Facet Site",15.400448909341,428.055090258858,1904
"Missouri Ozark",21.2825009784683,610.881912038581,1904
"Morgan Monroe State Park",20.8222005146376,398.240625972822,1904
"Oak Openings Toledo",18.8201805183596,358.325494181402,1904
"Savannah River",25.2349790312848,495.765292581509,1904
"Valles Caldera Lower",12.9818736609654,373.223707057202,1904
"Valles Caldera Upper",11.0535404188656,408.963468036059,1904
"Willow Creek",14.4548797894304,506.552095621146,1904
"Austin Cary FL",26.6305827029734,890.21572884122,1905
"Duke Hardwood",23.6746189384628,703.643012785413,1905
"Duke Loblolly",23.6742843773267,702.680049301307,1905
"Florida Plantation",26.6068998981778,900.748182622288,1905
"Harvard",16.2443619172755,521.287098317578,1905
"Howland",15.5449778763346,398.308283245035,1905
"Michigan AmerifluxTower",16.2069587368695,325.852290934166,1905
"Michigan Facet Site",16.237612736262,326.951077779731,1905
"Missouri Ozark",22.4161520955455,687.772144292766,1905
"Morgan Monroe State Park",21.6097078430982,588.2116366581,1905
"Oak Openings Toledo",19.5923928730914,521.210270647986,1905
"Savannah River",26.0532158945248,437.233287443448,1905
"Valles Caldera Lower",12.9189428370923,248.452229116184,1905
"Valles Caldera Upper",11.0178598047488,280.508107790546,1905
"Willow Creek",15.5394720518397,612.248089650776,1905
"Austin Cary FL",26.507541811568,879.89732164284,1906
"Duke Hardwood",24.0457140070882,691.193350801912,1906
"Duke Loblolly",24.0648493742622,689.713033603095,1906
"Florida Plantation",26.4465796377689,890.173365217937,1906
"Harvard",17.3603425131065,524.358289337459,1906
"Howland",16.2922124265237,421.528581954015,1906
"Michigan AmerifluxTower",17.1500147708837,241.588257861947,1906
"Michigan Facet Site",17.1913018345622,242.987799149864,1906
"Missouri Ozark",22.4813680541074,478.09997241486,1906
"Morgan Monroe State Park",22.0226055208244,454.168418695245,1906
"Oak Openings Toledo",20.4030731004109,428.831244250135,1906
"Savannah River",25.8054886909277,832.484840567462,1906
"Valles Caldera Lower",12.4203405549012,286.404869278267,1906
"Valles Caldera Upper",10.4920161911286,313.340446802535,1906
"Willow Creek",16.2012196122958,490.104674554828,1906
"Austin Cary FL",26.3212287100533,781.78519976645,1907
"Duke Hardwood",22.9013206576331,563.861587351935,1907
"Duke Loblolly",22.9061525254967,562.362276246016,1907
"Florida Plantation",26.2567245741738,786.749436407672,1907
"Harvard",15.7220636546223,537.446649540254,1907
"Howland",15.2703779133679,488.806314328662,1907
"Michigan AmerifluxTower",15.117707969755,338.524992483222,1907
"Michigan Facet Site",15.144073278229,339.059280825387,1907
"Missouri Ozark",21.3043202357142,498.964472277561,1907
"Morgan Monroe State Park",20.1602485057852,472.360108570163,1907
"Oak Openings Toledo",18.0962363674667,441.008164147243,1907
"Savannah River",25.4812327546919,657.073305906944,1907
"Valles Caldera Lower",11.8327513502315,307.618607816497,1907
