"CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot","DBH..cm.","pith.offset","outer.present"
"ACA008A","ACA008","ACA","Austin Cary FL",8,"PIPA","C","LIVE",33.9,1,2,"A","Y",1923,1923,1924,2010,"Y",1924,2010,"Y",NA,"Y","A",NA,NA,NA
"ACA008B","ACA008","ACA","Austin Cary FL",8,"PIPA","C","LIVE",33.9,1,2,"B","Y",1924,1924,1925,2014,"Y",1925,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA009A","ACA009","ACA","Austin Cary FL",9,"PIPA","C","LIVE",31.7,1,2,"A","N",1914,1925,1926,2010,"Y",NA,NA,"N",NA,"Y","A",NA,NA,NA
"ACA009B","ACA009","ACA","Austin Cary FL",9,"PIPA","C","LIVE",31.7,1,2,"B","N",1919,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA010A","ACA010","ACA","Austin Cary FL",10,"PIPA","C","LIVE",18.6,1,2,"A",NA,NA,1938,1939,2011,"Y",1939,2011,"Y",NA,"Y","A",NA,NA,NA
"ACA010B","ACA010","ACA","Austin Cary FL",10,"PIPA","C","LIVE",18.6,1,2,"B","N",1936,1939,1940,2009,"Y",1940,2009,"Y",NA,"Y","A",NA,NA,NA
"ACA011A","ACA011","ACA","Austin Cary FL",11,"PIPA","C","LIVE",26,1,2,"A","N",1918,1920,1921,2014,"Y",1921,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA011B","ACA011","ACA","Austin Cary FL",11,"PIPA","C","LIVE",26,1,2,"B","N",1918,1920,1921,2010,"Y",1921,2010,"Y",NA,"Y","A",NA,NA,NA
"ACA012A","ACA012","ACA","Austin Cary FL",12,"PIPA","C","LIVE",35.7,1,2,"A","N",1918,1919,1920,2014,"Y",1920,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA012B","ACA012","ACA","Austin Cary FL",12,"PIPA","C","LIVE",35.7,1,2,"B","N",1916,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA013A","ACA013","ACA","Austin Cary FL",13,"PIPA","C","LIVE",22.8,1,2,"A","Y",1946,1946,1947,2014,"Y",1947,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA013B","ACA013","ACA","Austin Cary FL",13,"PIPA","C","LIVE",22.8,1,2,"B","N",1946,1946,1947,2014,"Y",1947,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA014A","ACA014","ACA","Austin Cary FL",14,"PIPA","C","LIVE",34.8,1,2,"A","Y",1932,1932,1933,2014,"Y",1933,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA014B","ACA014","ACA","Austin Cary FL",14,"PIPA","C","LIVE",34.8,1,2,"B","Y",1931,1931,1932,2014,"Y",1932,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA015A","ACA015","ACA","Austin Cary FL",15,"PIPA","C","LIVE",17.1,1,2,"A","N",1936,1939,1940,2011,"Y",NA,NA,"N",NA,"Y","A",NA,NA,NA
"ACA015B","ACA015","ACA","Austin Cary FL",15,"PIPA","C","LIVE",17.1,1,2,"B",NA,NA,1953,1954,2014,"Y",NA,NA,"N",NA,"Y","A",NA,NA,NA
"ACA016A","ACA016","ACA","Austin Cary FL",16,"PIPA","C","LIVE",36.2,1,2,"A","Y",1925,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA016B","ACA016","ACA","Austin Cary FL",16,"PIPA","C","LIVE",36.2,1,2,"B","Y",1926,1926,1927,2014,"Y",1927,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA017A","ACA017","ACA","Austin Cary FL",17,"PIPA","C","LIVE",42.2,1,2,"A","Y",1920,1920,1921,2014,"Y",1921,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA017B","ACA017","ACA","Austin Cary FL",17,"PIPA","C","LIVE",42.2,1,2,"B","Y",1920,1920,1921,2014,"Y",1921,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA018A","ACA018","ACA","Austin Cary FL",18,"PIPA","C","LIVE",27.2,1,2,"A","N",1927,1936,1937,2014,"Y",1937,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA018B","ACA018","ACA","Austin Cary FL",18,"PIPA","C","LIVE",27.2,1,2,"B","N",1931,1933,1934,2011,"Y",1934,2011,"Y",NA,"Y","A",NA,NA,NA
"ACA019A","ACA019","ACA","Austin Cary FL",19,"PIPA","C","LIVE",26.7,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA
"ACA019B","ACA019","ACA","Austin Cary FL",19,"PIPA","C","LIVE",26.7,1,2,"B","N",1932,1936,1937,2014,"Y",1937,2014,"N",NA,NA,"A",NA,NA,NA
"ACA020A","ACA020","ACA","Austin Cary FL",20,"PIPA","C","LIVE",23.5,1,2,"A","Y",1919,1919,1920,1990,"N",1920,1990,"Y","BREAK",NA,"A",NA,NA,NA
"ACA020B","ACA020","ACA","Austin Cary FL",20,"PIPA","C","LIVE",23.5,1,2,"B","N",1915,1919,1920,1993,"Y",1920,1993,"Y","BREAK",NA,"A",NA,NA,NA
"ACA021A","ACA021","ACA","Austin Cary FL",21,"PIPA","C","LIVE",42.9,1,2,"A","N",1920,1920,1921,2014,"Y",1921,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA021B","ACA021","ACA","Austin Cary FL",21,"PIPA","C","LIVE",42.9,1,2,"B","N",NA,1923,1924,2014,"Y",NA,NA,"N",NA,"Y","A",NA,NA,NA
"ACA023A","ACA023","ACA","Austin Cary FL",23,"PIPA","C","LIVE",31.8,1,2,"A","N",1922,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA023B","ACA023","ACA","Austin Cary FL",23,"PIPA","C","LIVE",31.8,1,2,"B","N",1921,1926,1927,2014,"Y",1927,2013,"Y",NA,NA,"A",NA,NA,NA
"ACA024A","ACA024","ACA","Austin Cary FL",24,"PIPA","C","LIVE",38,1,2,"A",NA,NA,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA024B","ACA024","ACA","Austin Cary FL",24,"PIPA","C","LIVE",38,1,2,"B","N",1918,1921,1922,2014,"Y",1922,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA025A","ACA025","ACA","Austin Cary FL",25,"PIPA","C","LIVE",35,1,2,"A",NA,NA,1939,1940,2014,"Y",1940,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA025B","ACA025","ACA","Austin Cary FL",25,"PIPA","C","LIVE",35,1,2,"B",NA,NA,1924,1925,2014,"Y",1925,2014,"Y",NA,NA,"A",NA,NA,NA
"ACA026A","ACA026","ACA","Austin Cary FL",26,"PIPA","C","LIVE",22.8,1,2,"A",NA,NA,1921,1922,2007,"Y",1922,2007,"Y",NA,"Y","A",NA,NA,NA
