"PlotID","TreeID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth","Dated","Pith","Year.sample","Age"
"ACB","ACB005","Austin Cary FL","PIPA","C","LIVE",33.5,1,2,"B",5,881.4,0.70140625,7.957747155,NA,19.16,329,"N",1944.5,2014,69.5
"ACB","ACB006","Austin Cary FL","PIPA","C","LIVE",22.9,1,2,"B",6,411.9,0.32775625,7.957747155,NA,12.82,280,"Y",1920.5,2014,93.5
"ACB","ACB007","Austin Cary FL","PIPA","C","LIVE",33.3,1,2,"B",7,870.9,0.69305625,7.957747155,NA,6.61,294,"Y",1937,2014,77
"ACB","ACB008","Austin Cary FL","PIPA","I","LIVE",10,1,2,"B",8,78.5,0.147928994,18.83490451,NA,6,299,"N",1954,2014,60
"ACB","ACB009","Austin Cary FL","PIPA","C","LIVE",34.3,1,2,"B",9,924,0.73530625,7.957747155,NA,3.84,254,"Y",1919.5,2014,94.5
"ACB","ACB010","Austin Cary FL","PIPA","C","LIVE",27.2,1,2,"B",10,581.1,0.4624,7.957747155,NA,6.66,250,"Y",1920,2014,94
"ACB","ACB011","Austin Cary FL","PIPA","C","LIVE",29.9,1,2,"B",11,702.2,0.55875625,7.957747155,NA,18.31,240,"Y",1920,2014,94
"ACB","ACB012","Austin Cary FL","PIPA","C","LIVE",24.4,1,2,"B",12,467.6,0.3721,7.957747155,NA,18.04,226,"Y",1921,2014,93
"ACB","ACB013","Austin Cary FL","PIPA","C","LIVE",29.6,1,2,"B",13,688.1,0.5476,7.957747155,NA,19.12,215,"Y",1933.5,2014,80.5
"ACB","ACB014","Austin Cary FL","PIPA","C","LIVE",28.9,1,2,"B",14,656,0.52200625,7.957747155,NA,15.81,221,"Y",1918.5,2014,95.5
"ACB","ACB015","Austin Cary FL","PIPA","C","LIVE",28.4,1,2,"B",15,633.5,0.5041,7.957747155,NA,9.56,225,"Y",1926.5,2014,87.5
"ACB","ACB016","Austin Cary FL","PIPA","C","LIVE",31.4,1,2,"B",16,774.4,0.616225,7.957747155,NA,10.52,214,"Y",1921,2014,93
